名前,名前（カナ）,詳細業種,紹介文,郵便番号,住所,電話番号,公式URL,最寄駅,タウンページ詳細ページ
"菜園矯正歯科クリニック","サイエンキョウセイシカクリニック","Z147600__矯正歯科/","日曜日も診療　
通院しやすいよう予約制となっております。","020-0026","岩手県盛岡市開運橋通","019-621-8484","http://www.saienkyousei.com","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/035346773000000899/"
"医療法人佐藤誠歯科医院白翆会","イリョウホウジンサトウマコトシカイインハクスイカイ","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","●歯科●小児歯科●矯正歯科　
平日・土曜も18時迄診療","020-0132","岩手県盛岡市西青山２丁目","019-645-3330","http://www.implant-iwate.jp/","青山駅/","https://itp.ne.jp/info/031621483000000899/"
"マモインプラントクリニックマリオス","マモインプラントクリニックマリオス","Z243000__歯科口腔外科/","歯の事ならお任せ下さい！
歯科用CT　手術室あり","020-0045","岩手県盛岡市盛岡駅西通２丁目","019-681-8861","http://www.mamo-clinic.com/","盛岡駅/","https://itp.ne.jp/info/032124900149861030/"
"松本陽子デンタルクリニック","マツモトヨウコデンタルクリニック","Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","夜8時まで診察します！","020-0866","岩手県盛岡市本宮２丁目","019-656-4618","http://www.yoko-dc.com/","仙北町駅/","https://itp.ne.jp/info/038892030158460630/"
"はし歯科こども歯科","ハシシカコドモシカ","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","平日夜7時まで診療　
歯科 ・小児歯科・矯正歯科","020-0122","岩手県盛岡市みたけ２丁目","019-648-0035","","厨川駅/","https://itp.ne.jp/info/030913817114830150/"
"愛歯科診療所","アイシカシンリョウジョ","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","盛岡市の歯科　
平日夜7時まで診療いたします","020-0851","岩手県盛岡市向中野１丁目","019-681-9888","http://www.ai-morioka.net/","仙北町駅/","https://itp.ne.jp/info/032302553163460990/"
"栃内歯科医院","トチナイシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","歯科・小児歯科・矯正歯科　
◆新患・急患随時受付
◆在宅訪問診療","020-0884","岩手県盛岡市神明町","019-625-1588","http://tochinai-dental.com/","","https://itp.ne.jp/info/035147973000000899/"
"菊月歯科医院","キクヅキシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","盛岡市松園の歯医者さん　
歯科・矯正歯科・小児歯科　
駐車場有","020-0107","岩手県盛岡市松園２丁目","019-662-7720","http://kikuzuki-dental.com/","","https://itp.ne.jp/info/036912983000000899/"
"まゆみ歯科・小児歯科医院","マユミシカシヨウニシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","■・小児歯科・歯科・矯正歯科・■
土曜日・日曜日も診療します！","020-0881","岩手県盛岡市天神町","019-651-6480","http://douga-plus.itp.ne.jp/embed/TLjIBvMuw7D_","","https://itp.ne.jp/info/037579583000000899/"
"岩渕歯科医院","イワブチシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","歯科／小児歯科／矯正歯科　
土曜日PM5：00まで診療","020-0881","岩手県盛岡市天神町","019-654-1017","","山岸駅/","https://itp.ne.jp/info/038051783000000899/"
